         DEV         DEV1          SD1

        2.15       4.6225      0.14997
      -12.85     165.1225     -0.89633
       -2.85       8.1225    -0.198797
       -7.85      61.6225    -0.547564
        1.15       1.3225     0.080216
        7.15      51.1225     0.498736
        9.15      83.7225     0.638243
       -6.85      46.9225     -0.47781
      -14.85     220.5225    -1.035837
       -2.85       8.1225    -0.198797
       27.15     737.1225     1.893803
       17.15     294.1225      1.19627
        4.15      17.2225     0.289476
      -11.85     140.4225    -0.826577
      -22.85     522.1225    -1.593864
       37.15    1380.1225     2.591337
        2.15       4.6225      0.14997
        1.15       1.3225     0.080216
      -16.85     283.9225    -1.175344
       -8.85      78.3225    -0.617317

Sum:1543          Mean: 77.15          STD: 14.33623
Sum of DEV1: 4110.55          Sum of SD1: 0
